,Index,imdbId,Uri,Title,IMDB_rating,Genre,Poster,Path,n_faces,dominant_color,median_lightness
161,6781,363589,http://www.imdb.com/title/tt363589,Elephant (2003),7.2,Crime|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWRhNDZkMzQtZDQ3Ny00NjdjLWJmZjAtMWQxNDQyZTYzZjU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR3,0,182,268_AL_.jpg",363589.jpg,0,white,253.0
162,5065,82559,http://www.imdb.com/title/tt82559,Hell of the Living Dead (1980),4.9,Action|Comedy|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MDExMjYyMF5BMl5BanBnXkFtZTcwNjUwOTE1MQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",82559.jpg,0,silver,126.0
163,18410,71949,http://www.imdb.com/title/tt71949,Orderers (1974),8.3,Drama|History,"https://images-na.ssl-images-amazon.com/images/M/MV5BODZmMTZjZjAtZTE1ZS00NDFiLWJlZTAtZDBmNGFlYzZhZDk0XkEyXkFqcGdeQXVyMjQzMjY4MjU@._V1_UY268_CR7,0,182,268_AL_.jpg",71949.jpg,0,black,60.0
164,12800,912583,http://www.imdb.com/title/tt912583,For the Bible Tells Me So (2007),7.9,Documentary|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmE1Mzk4ODUtZWEzZS00MWY2LWFjMTItNmUzM2MxYmJiMWI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",912583.jpg,5,black,8.0
165,29735,79912,http://www.imdb.com/title/tt79912,"Skatetown, U.S.A. (1979)",4.7,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU0Y2YxY2QtZjFhNy00ZThlLTg4NTctYzM5YTMyMDQzYjQ2L2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",79912.jpg,0,black,109.0
166,31224,487037,http://www.imdb.com/title/tt487037,Mammoth (2006),3.7,Action|Comedy|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyODEzMTc5MF5BMl5BanBnXkFtZTcwODQyMTgzMQ@@._V1_UY268_CR13,0,182,268_AL_.jpg",487037.jpg,0,black,34.0
167,33656,3614530,http://www.imdb.com/title/tt3614530,Jem and the Holograms (2015),4.1,Adventure|Drama|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxMDI1MTI2M15BMl5BanBnXkFtZTgwODYzODc2NTE@._V1_UX182_CR0,0,182,268_AL_.jpg",3614530.jpg,0,black,135.0
168,6367,102900,http://www.imdb.com/title/tt102900,Shattered (1991),6.5,Crime|Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NDA0ODQ1M15BMl5BanBnXkFtZTcwNDc0MTgyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",102900.jpg,1,black,63.0
169,14683,1092633,http://www.imdb.com/title/tt1092633,"The Goods: Live Hard, Sell Hard (2009)",5.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNDI1OTk3MF5BMl5BanBnXkFtZTcwMzY5MDI2Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg",1092633.jpg,3,white,236.0
170,33995,77610,http://www.imdb.com/title/tt77610,The Ghost of Flight 401 (1978),6.1,Mystery|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjJmMzVmZGUtNDJmMC00M2ZkLWJlMTktMzEyMTNlYzc4ZjBlXkEyXkFqcGdeQXVyNTkyMzUzMDM@._V1_UY268_CR17,0,182,268_AL_.jpg",77610.jpg,1,white,136.0
